,BRAND,CATEGORY,DISTPRICE,MRP,DIST%
1,COBIO MAN,Casual Printed Women Kurti,Rs.494,"Rs.1,599",44% off
2,GS.FASHION,Formal Printed Women Kurti,Rs.299,Rs.999,44% off
3,Gulmohar Jaipur,Women Printed Flared Kurta,Rs.799,"Rs.1,999",44% off
4,Stylum,Festive & Party Checkered Women Kurti,Rs.629,"Rs.2,000",44% off
5,Mokshi,Women Printed Anarkali Kurta,Rs.629,"Rs.2,199",44% off
6,Rubellite,Women Embroidered A-line Kurta,Rs.380,"Rs.1,499",44% off
7,Vastranikhar,Women Printed A-line Kurta,Rs.682,"Rs.1,599",44% off
8,Gujari,Women Printed Straight Kurta,Rs.289,Rs.999,44% off
9,Elepants,Women Embroidered Anarkali Kurta,Rs.599,"Rs.2,499",44% off
10,Gulmohar Jaipur,Women Embroidered Anarkali Kurta,Rs.582,"Rs.1,499",44% off
11,Meher Impex,Women Abstract Frontslit Kurta,Rs.749,"Rs.1,895",44% off
12,Gujari,Women Printed Straight Kurta,Rs.289,Rs.899,44% off
13,Mokshi,Women Floral Print Flared Kurta,Rs.629,"Rs.1,999",44% off
14,GS.FASHION,Festive & Party Checkered Women Kurti,Rs.289,"Rs.1,299",44% off
15,GS.FASHION,Festive & Party Printed Women Kurti,Rs.298,"Rs.1,299",44% off
16,Gulmohar Jaipur,Women Printed Flared Kurta,Rs.799,"Rs.1,999",44% off
17,Janakdulari Creation,Women Printed Trail Cut Kurta,Rs.699,"Rs.1,599",44% off
18,Anouk,Women Printed A-line Kurta,Rs.499,"Rs.1,999",44% off
19,Vbuyz,Women Printed A-line Kurta,Rs.787,"Rs.2,499",44% off
20,GS.FASHION,Festive & Party Printed Women Kurti,Rs.299,Rs.999,44% off
21,Gujari,Casual Printed Women Kurti,Rs.289,Rs.999,44% off
22,GLAM ROOTS,Women Printed A-line Kurta,Rs.599,"Rs.1,599",44% off
23,Style N Shades,Women Solid Straight Kurta,Rs.299,"Rs.1,799",44% off
24,GS.FASHION,Formal Printed Women Kurti,Rs.299,Rs.999,44% off
25,ALC Creations,Women Printed A-line Kurta,Rs.493,"Rs.1,499",44% off
26,Style N Shades,Women Solid Straight Kurta,Rs.299,"Rs.1,799",44% off
27,Style N Shades,Women Solid Straight Kurta,Rs.299,"Rs.1,799",44% off
28,Metro Fashion,"Women Printed, Abstract Straight Kurta",Rs.599,"Rs.1,899",44% off
29,KSHARAA,Women's Embroidered Straight Kurta,Rs.399,"Rs.1,299",44% off
30,GS.FASHION,Festive & Party Printed Women Kurti,Rs.287,"Rs.1,299",44% off
31,Aks,Women Floral Print Flared Kurta,Rs.799,"Rs.1,899",44% off
32,Chichi,Women Embroidered Straight Kurta,Rs.283,Rs.999,44% off
33,PAVITRA,Women Printed Straight Kurta,Rs.299,Rs.799,44% off
34,Ada,Casual Chikan Embroidery Women Kurti,Rs.949,N/A,44% off
35,NYPA,Women Striped Frontslit Kurta,Rs.499,"Rs.1,699",44% off
36,Gulmohar Jaipur,Women Embroidered Frontslit Kurta,Rs.583,"Rs.1,599",44% off
37,Gujari,Women Printed Straight Kurta,Rs.289,Rs.999,44% off
38,Indiwest,Women Solid Frontslit Kurta,Rs.749,"Rs.1,399",44% off
39,Aks,Women Self Design Straight Kurta,Rs.479,"Rs.1,099",44% off
40,Ada,Casual Chikan Embroidery Women Kurti,"Rs.1,220",N/A,44% off
